sample,cksum
isldas_federico_box_1200.avi,a99d4d04fc7b2bb3b9c52d59252baf16
ixmas_andreas3_get-up_400.avi,ca27c44644e662cf26d797008dbf9aeb
isldas_federico_wave2_1444.avi,b6f4537cb1f8e60307045746f9ce7023
ixmas_clare1_check-watch_1021.avi,94b6f7bf61ce6ad3f1efdb16ffc14780
isld_Karam_box_628.avi,ba842d4e90db165830702c8869215c16
isldas_federico_point_462.avi,3176dde0aee15bb2ebcc8261308ec0f3
isld_Safaa_standing_73.avi,10558c1c334e45837c1a4860e026ee7c
isldas_federico_kick_306.avi,1edbdbe6586d303aa965ea6c9fb915ca
isldas_federico_wave2_1557.avi,e81e11861ead365eca42fc956158c08a
kth_person19_run_570.avi,eeefc1e4952f952470e5418303c48b83
isldas_federico_walk_1052.avi,3971b987851f27deae5176f5c99b3021
ixmas_chiara2_kick_1434.avi,11bc57c5377b53c9b5756a5cb6325285
kth_person02_jog_423.avi,0b8f25ad2634f78bc492bdfc69e8347e
ixmas_nicolas3_walk_1159.avi,d968767553fc7738fb49c6e4d63d02e1
ixmas_daniel3_kick_239.avi,adf10ce19102dc45c0ad406107a76df0
ixmas_amel3_box_882.avi,842812c00a53549b95f6d5cff2490af6
isld_Anna_check-watch_231.avi,6a653b7cec28841e60726a1287b7d4f2
ixmas_andreas3_check-watch_198.avi,8e6d5c7afbed02bf26ac70ff35deb4ec
isldas_federico_hands-clap_1233.avi,e10a7a65d0116e5169f44e1e93b815bf
ixmas_amel2_cross-arms_879.avi,88698c72f3bb776fa9f5357b7547b159
isldas_federico_walk_298.avi,ecf19a106f6103b5359e73f537c4e90c
isldas_federico_wave1_96.avi,f9cf1f88d737268acd9647981e746899
ixmas_andreas1_walk_393.avi,f263487bbfd0ac26120057850f7a069e
isldas_federico_point_1050.avi,a3071739ac5a3579f73a6eeee6d3dacc
isld_Jiawei_hands-clap_543.avi,e2511fc641546b7bdb270fb6f66a6ab5
isldas_federico_point_314.avi,40bb394901588bd141a7dc6410c94e91
isldas_federico_run_617.avi,ef59f3a26dab3b5a5787cbaff7de193d
ixmas_clare1_walk_299.avi,be928834b250b47834a2a0afa82f4bd4
isld_Zaid_pjump_387.avi,64c98dc5bcb4367d62f78fb4859d08e1
ixmas_florian3_turn_1080.avi,1c9261d33d8654b62ac37e808edff354
i3dpost_joe_bend_374.avi,623fb94711cd704233309205ed83d745
ixmas_alba2_turn_1170.avi,6e56e979c9c360fd1de57390ee11936f
ixmas_clare3_check-watch_203.avi,6b63578937c86ca291bb8b087b046664
kth_person05_run_310.avi,0d283579f4847bce49202e6aac16911b
ixmas_chiara1_check-watch_1141.avi,d362ca520328884668735bfb1592b026
ixmas_chiara2_turn_1387.avi,6a7bd8dce29818090e5f1157f05158f1
isldas_federico_wave1_889.avi,339d67dac34c88295538a4a132454e2b
isld_Jiawei_cross-arms_513.avi,f4b1cef61caa23178eb46a36c11826b6
isldas_federico_box_1266.avi,62d4f784d9c3ddf5209e8917e465255e
isldas_federico_kick_662.avi,23691065465eb187dc5470c9fb74a8e2
isldas_federico_point_1077.avi,69c4885505668776094abb1a8b9fcc5c
ixmas_julien2_turn_791.avi,f993339a3606f8d0564d1c7f4927be54
kth_person11_walk_234.avi,7555cc19f1271d824837a5776e6d0953
ixmas_daniel2_check-watch_1343.avi,e150752170c6a93093dfdad0af0e28cf
isld_Anna_standing_262.avi,0c5ae551f73e2cf6540071c057fe1302
i3dpost_haidi_jump_21.avi,ce6dbeee14a46bafc668c2f87f097339
ixmas_alba2_check-watch_1241.avi,2575a8e907a7d265c19e02f0dc882b34
ixmas_andreas3_wave1_603.avi,4c3f1784e576e44a1ea959208d459bf6
isldas_federico_hands-clap_903.avi,cc95cadbab75a90375b43184027e2c0f
isldas_federico_walk_1290.avi,916960e98d07f6a16131817354a80bf8
kth_person24_jog_307.avi,af1be99ad781bd8844e3a1b486c2191d
isldas_federico_point_1345.avi,531698bc77be5e4fd450db8721cf8f5e
ixmas_julien3_point_1069.avi,7ec6f8a58901e15e46dc78813ae8aa67
kth_person21_hands-clap_459.avi,cb32f3e1699497fe83da6191564ac582
i3dpost_nikos_bend_232.avi,831963eb88fd597fb398e3eb1464eae6
isldas_federico_bend_1330.avi,8787ee8b7edea84c6dc0142794079836
kth_person24_hands-clap_489.avi,ed531c7fa80115bf2cdd88081eb1b32c
isldas_federico_bend_333.avi,d413cda4d55fe4beda733e4653e0c1ea
isldas_federico_wave2_508.avi,3bbe7ea74b47f099d33b1d11c2d12a01
isldas_federico_wave2_1423.avi,08f02ac09f59eb42a490a3ecb25d7afb
kth_person19_run_231.avi,afce9146df4c6654ce0a242eb97db3ab
ixmas_julien2_point_1026.avi,63ea07d1ec7634b0f61ad8a03708691d
isldas_federico_point_665.avi,c1ff97e90cb9d4de81c3734cbbbde1e1
kth_person13_hands-clap_496.avi,08bbf8a21a747996117ce7f861bbb8bd
kth_person16_walk_377.avi,b8e221e3c3b2e3cf231b023ce852a9c9
ixmas_chiara1_kick_981.avi,bebe5f9f1f707182033de968b44ad9d3
isldas_federico_point_267.avi,824eebac2c3e5e8a9ec608a0fe112c44
i3dpost_haidi_walk_3.avi,1cbe6a2eb9fb7d177916d5e932a8a20b
isldas_federico_hands-clap_818.avi,a9771c17fa7d98cf0a51d77e494c36d5
ixmas_julien1_pick-up_1264.avi,e2f43f2692bfd41e0d20e05bfb739ed2
isld_Jiawei_standing_560.avi,1074762abd15582533f243de44de2690
isldas_federico_wave1_1646.avi,0669f84d57b4703ee139ce158f25d94a
isldas_federico_point_794.avi,8a3577444301a7271719003afab1d830
isld_Scott_run_354.avi,655b79acc8826605d952cb4a09114d0c
i3dpost_haidi_hand-wave_34.avi,815066ba6055c5ad9f9f0ff6d430f86e
ixmas_chiara1_get-up_1147.avi,0c3cb4d8e352be52c0e6e6a8aebd40bd
kth_person17_hands-clap_452.avi,e7c8de27f4443d87baa8ff739fef9ba9
isldas_federico_point_553.avi,2cb5735441507a8d256205f46e5a3805
ixmas_alba2_wave1_402.avi,5724154d1f3eb352c110622f75cda9c0
isldas_federico_hands-clap_615.avi,5db4be43ea72f58a3623662863c016b6
ixmas_amel1_kick_1334.avi,681db6c24a80c8cfc17393be89e98663
isldas_federico_point_488.avi,5574335f73d86c3c7a5f86da51cebc85
kth_person16_jog_124.avi,db5c57cee116d98bc9221888c69ac2dd
isldas_federico_bend_1015.avi,f6233c07e38e795c28c68fed714338a4
ixmas_amel3_check-watch_1104.avi,056ac188ba31b7d875d0514bc0b2f0f8
isld_Karam_standing_595.avi,c5367bf3c321770ff2d8770b4f3d06c1
isldas_federico_walk_1241.avi,72bae860b88e03b9a3be906b3e3c151c
isld_Zaid_jump_431.avi,c1ac57ff8659df712dd1cdf3764b66c8
isldas_federico_bend_1172.avi,a4ff9e2b80e6b08155e356f710258e54
kth_person25_walk_298.avi,2c82740c7407bddff0b4b92aea3cccd6
isld_Zaid_standing_382.avi,57167c76c417666fc307653e9bb29df6
ixmas_florian3_cross-arms_106.avi,04df66b5bc1673d6213071dcd839ca4a
ixmas_florian2_check-watch_1246.avi,6c25c557641d64a06c68adac8fb39684
isldas_federico_hands-clap_1045.avi,6fd0c9cde4e486c06659618b8376b11d
ixmas_clare3_sit-down_1016.avi,920385fd2fc14c5e13c3429e263071df
kth_person12_jog_526.avi,d0ba3f29f18623a8023fb5dcf4da0a20
ixmas_florian1_scratch-head_458.avi,ca773298cc60f617c0f664ffaef30cde
isld_Federico_walk_53.avi,42605685d9887ef0788db9a8f96226ae
i3dpost_joe_run_365.avi,c5ceffd85c679f8cd34cfc5e03a77b1b
isldas_federico_wave1_1321.avi,9f199f0dcbfc04b18b62972c92807db3
i3dpost_jean_run_71.avi,f0270eae35b8ae373ac63fed69816e07
isldas_federico_point_921.avi,1ad306dd8747cf270cf492798be85275
ixmas_alba2_cross-arms_1323.avi,ef351b3a19adee0872a25e262e7f9a19
isld_Jiawei_standing_518.avi,10204cf03da6f12f697803708c53f0a6
ixmas_chiara3_check-watch_1337.avi,a02c93f95a1a561be6d7ab50a2e5d1f3
isld_Federico_jump_65.avi,a3c0eb882d7368341023571f89460e36
ixmas_florian2_check-watch_23.avi,c16bd550fe037454e97c2af3958ceb3c
ixmas_alba2_wave1_534.avi,07a4b5427df768c9647051b8b66ffc73
isldas_federico_wave2_705.avi,af71d6e71c7da1d0f64f9f3815516fb2
weizmann_ido_run_48.avi,6ebb4fe244c35c7cee44b9dadefea1a1
kth_person01_walk_108.avi,513dd40157f6fde309a30f40f33e16f1
ixmas_clare2_get-up_1139.avi,8c390ae663a690e62b5083af806359e8
kth_person11_jog_35.avi,385999de96413548f596147501bc7921
isldas_federico_wave1_336.avi,c117e54a199325bb9c36dde4d3399eee
isldas_federico_wave1_1325.avi,9e396e712650964aa868574f42a2b5e8
kth_person23_run_361.avi,7464942ee163077f4647f95c5aead12f
kth_person19_wave2_137.avi,573e32047374b9fa485586e77420a6a8
isldas_federico_hands-clap_1033.avi,a7994bb516deae95a23a90df4c2c30d5
